Carbon,pH,EC,Nitrogen,Phosphorus,Potassium,Crop_Name,mean_smi,mean_ndwi,mean_msi,SFI,Fertility_Level,Ideal_Crop
0.65,7.5,30.0,392.0,18.2,528.08,Soyabean,0.595191471,-0.196167476,1.050560218,2.1666666666666665,Medium,Sorghum
0.31,7.7,42.0,78.4,17.98,433.03,Soyabean,0.609652549,-0.198809738,1.063568682,2.0,Medium,Cotton
0.37,7.6,74.0,125.44,17.11,242.92,Soyabean,0.569588538,-0.203630169,1.045586035,1.8333333333333333,Medium,Cotton
0.7,7.6,56.00000000000001,313.6,14.25,485.83,Soyabean,0.510964022,-0.198400419,1.080644843,2.3333333333333335,High,Wheat
0.42,7.7,48.0,329.28,23.9,348.53,Soyabean,0.499073028,-0.165006504,1.02929376,2.3333333333333335,High,Wheat
0.74,7.7,46.0,360.64,16.01,337.97,Soyabean,0.535297691,-0.1804776,1.04769852,2.3333333333333335,High,Wheat
0.62,8.0,55.00000000000001,235.2,13.38,316.85,Soyabean,0.513293613,-0.191040038,1.095868139,2.1666666666666665,Medium,Sorghum
0.58,7.9,47.0,313.6,16.67,433.03,Soyabean,0.589599312,-0.200715461,1.06339442,2.3333333333333335,High,Wheat
0.73,7.3,26.0,219.52,19.3,496.4,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Onion
0.43,7.9,70.0,78.4,22.81,422.46,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Cotton
0.64,7.7,61.0,156.8,23.46,348.53,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Potato
0.54,8.1,61.0,313.6,14.03,359.09,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Wheat
0.79,7.7,71.0,94.08,24.56,381.22,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Soyabean
0.55,7.8,54.0,156.8,18.86,390.78,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Onion
0.74,7.6,54.0,188.16,24.78,359.09,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Potato
0.81,7.8,46.0,125.44,19.3,538.64,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Soyabean
0.24,7.1,66.0,172.48,15.57,380.22,Soyabean,0.488084454,-0.201002358,1.067660243,1.8333333333333333,Medium,Onion
0.17,7.7,60.0,156.8,21.93,337.97,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Onion
0.22,8.2,55.00000000000001,141.12,16.89,316.85,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.27,7.6,73.0,141.12,17.76,168.99,Soyabean,0.52949983,-0.196358179,1.083172311,1.8333333333333333,Medium,Cotton
0.37,7.6,81.0,109.76,20.39,200.67,Soyabean,0.465920113,-0.183368707,1.063027915,2.0,Medium,Cotton
0.25,7.5,72.0,203.84,21.49,401.34,Soyabean,0.462479051,-0.180829075,1.088974643,2.0,Medium,Onion
0.25,7.7,77.0,203.84,24.12,380.22,Soyabean,0.432405295,-0.168535788,1.049139693,2.1666666666666665,Medium,Onion
0.43,7.4,79.0,188.16,14.03,506.96,Soyabean,0.476268902,-0.195110989,1.048767854,1.8333333333333333,Medium,Onion
0.42,7.5,73.0,235.2,17.11,506.96,Soyabean,0.489832936,-0.192510796,1.076867431,1.8333333333333333,Medium,Sorghum
0.5,7.7,38.0,313.6,23.68,242.92,Soyabean,0.514047665,-0.195306723,1.053940102,2.3333333333333335,High,Wheat
0.11,7.4,83.0,235.2,15.35,221.79,Soyabean,0.4385902,-0.184651781,1.089546081,1.6666666666666667,Low,Tomato
0.87,8.1,78.0,141.12,26.53,644.26,Soyabean,0.519352817,-0.180998316,1.027329988,2.5,High,Soyabean
0.61,7.2,89.0,94.08,15.35,802.68,Soyabean,0.456317796,-0.179783571,1.056855301,2.0,Medium,Cotton
1.16,7.2,38.0,156.8,21.27,718.19,Soyabean,0.51314132,-0.180625489,1.037594506,2.3333333333333335,High,Potato
0.28,7.7,80.0,94.08,24.34,380.22,Soyabean,0.490442553,-0.198397724,1.092390219,2.1666666666666665,Medium,Cotton
0.94,8.0,44.0,219.52,17.32,707.63,Soyabean,0.605236791,-0.201002358,1.067660243,2.3333333333333335,High,Bean
0.91,7.8,67.0,188.16,14.47,337.97,Soyabean,0.529101026,-0.201002358,1.067660243,2.3333333333333335,High,Potato
0.75,7.4,38.0,517.44,16.45,749.87,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Wheat
0.8,7.0,70.0,156.8,18.86,771.0,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Onion
0.84,7.3,86.0,172.48,25.88,961.11,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Potato
0.68,7.3,28.999999999999996,250.88,15.79,644.26,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Sorghum
0.91,7.5,31.0,486.08,18.42,665.38,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Wheat
0.42,7.7,47.0,156.8,12.94,337.97,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.65,7.4,32.0,909.44,16.45,686.5,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Wheat
0.64,7.3,69.0,109.76,32.02,813.24,Soyabean,0.57040566,-0.201002358,1.067660243,2.1666666666666665,Medium,Cotton
0.74,8.1,52.0,329.28,22.59,549.2,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Wheat
0.87,7.9,76.0,407.68,24.34,359.09,Soyabean,0.488084454,-0.201002358,1.067660243,2.6666666666666665,High,Wheat
0.55,7.7,69.0,282.24,16.23,454.15,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Rice
0.32,7.5,43.0,125.44,24.56,580.89,Soyabean,0.482754036,-0.201002358,1.067660243,2.0,Medium,Cotton
0.51,7.9,50.0,131.71,20.39,369.66,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Soyabean
0.25,7.9,74.0,360.64,21.71,728.75,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Wheat
0.24,7.6,75.0,94.08,19.08,506.96,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.83,7.5,56.99999999999999,203.84,24.12,380.22,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Sugarcane
0.4,8.0,63.0,172.48,12.5,454.15,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Onion
0.24,7.3,28.000000000000004,109.76,19.08,496.4,Soyabean,0.488084454,-0.201002358,1.067660243,1.8333333333333333,Medium,Cotton
0.42,7.5,75.0,125.44,14.03,549.2,Soyabean,0.488084454,-0.201002358,1.067660243,1.8333333333333333,Medium,Cotton
0.83,8.0,40.0,109.76,21.93,654.82,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Soyabean
0.93,7.7,24.0,68.99,24.34,506.96,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Soyabean
0.94,7.8,73.0,188.16,24.78,185.83,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Potato
0.23,7.7,30.0,172.48,18.42,855.49,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Onion
